"A"	1.0282931354359925
"BILL"	1.0
"Biography"	1.0222222222222221
"Case"	1.0
"Child's"	1.0358152686145146
"Christmas"	1.0358152686145146
"Circumstantial"	1.0
"City"	1.0333333333333334
"Collection"	1.0863636363636364
"ESTABLISHING"	1.0
"FOR"	1.0
"Fairy"	1.0512820512820513
"Female"	1.0
"Forms"	1.1262135922330097
"General"	1.0222222222222221
"George"	1.0222222222222221
"Government"	1.0
"Limited"	1.0
"Narrative"	1.0
"RELIGIOUS"	1.0
"Sea"	1.0333333333333334
"Study"	1.0
"Tales"	1.0512820512820513
"Wales"	1.0358152686145146
"by"	1.0333333333333334
"in"	1.0326741186586414
"of"	1.0348004094165815
"the"	1.0163934426229508
